,portfolio_value
549,424912.18939957395
550,415489.9634921048
551,407595.94676456513
552,403376.58808363584
553,390579.6623797778
554,406245.79257549543
555,406330.6690637318
556,398739.2653181486
557,399505.70820756187
558,402534.38464683405
559,404842.8815453557
560,408387.31828519714
561,419994.6829073233
562,405525.14228134626
563,400003.80165403784
564,402526.0659200274
565,392872.89160525094
566,398983.31021820183
567,379657.222522083
568,377129.4766113992
569,378263.6162194249
570,379700.2364725429
571,375038.069076511
572,375562.81530151406
573,380301.6353373985
574,379641.6406295808
575,379711.01396630815
576,378937.7671849261
577,366447.3034800702
578,368678.6544451954
579,357534.6741866406
580,350179.0179550983
581,326583.17112443864
582,335681.35239093885
583,332579.0978475417
584,336183.4811356
585,341423.9653715852
586,345285.59729767026
587,343138.7183640147
588,353288.7638162552
589,360849.54246207816
590,361664.9695243005
591,369262.53971265827
592,361274.6664415524
593,356136.2203764008
594,360815.3872462445
595,362681.37327922194
596,363546.0357622199
597,360281.83542209707
598,364041.41429049295
599,365372.43938800757
600,369947.75461151695
601,362643.74912800855
602,352328.2658097414
603,345690.48563844216
604,347081.7751267517
605,345283.90501514357
606,344629.00280232826
607,331784.3156459586
608,331372.10556410573
609,331723.9430449693
610,334266.7551818089
611,337547.96458162856
612,339478.3536757432
613,333591.64723093837
614,334534.5119720962
615,329376.9946511497
616,321662.4448405492
617,321504.23617156176
618,311724.5228460211
619,309469.938196722
620,315286.6049493575
621,309262.4502254535
622,308413.5755253174
623,305866.67469945934
624,308161.7587646743
625,310144.40175487706
626,312113.7365098282
627,320952.0597888141
628,321494.9031169365
629,323932.425462979
630,323502.00390268833
631,325606.9795946262
632,325623.7806863276
633,328961.1701038984
634,329097.9764464088
635,334780.76052112406
636,326185.20862923766
637,331213.4937845195
638,329608.36735295627
639,330810.04779439984
640,328977.2996810886
641,329417.1349918449
642,335611.6217264539
643,336788.51418290957
644,333336.2512276243
645,331703.7270538781
646,333612.9527155229
647,332000.1818794866
648,324549.18131919915
649,327630.26256763603
650,322480.69953741156
651,320961.9313484878
652,317364.543484974
653,319170.74338149384
